season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating
2021,2021-05-14,0,0,post,New York Liberty,Indiana Fever,NYL,IND,1384.64102366675,1433.89265752993,0.544135287484527,0.455864712515473,90,87,1391.60568409229,1426.92799710439
2021,2021-05-14,0,0,post,Atlanta Dream,Connecticut Sun,ATL,CON,1446.84965248961,1545.6075597758,0.473031399731937,0.526968600268063,67,78,1432.48085520923,1559.97635705618
2021,2021-05-14,0,0,post,Minnesota Lynx,Phoenix Mercury,MIN,PHO,1521.46149654749,1512.73740908226,0.624979205832222,0.375020794167778,75,77,1512.3599973659,1521.83890826385
2021,2021-05-14,0,0,post,Los Angeles Sparks,Dallas Wings,LAS,DAL,1525.20767374723,1460.09161858607,0.697486058869361,0.302513941130639,71,94,1485.28640566862,1500.01288666468
2021,2021-05-15,0,0,post,Washington Mystics,Chicago Sky,WAS,CHI,1497.22314800559,1500.42276907039,0.608758952102369,0.391241047897631,56,70,1473.8649484287,1523.78096864728
2021,2021-05-15,0,0,post,Seattle Storm,Las Vegas Aces,SEA,LVA,1620.55287242624,1551.29756383172,0.702489852277183,0.297510147722817,97,83,1630.12416822951,1541.72626802845
2021,2021-05-16,0,0,post,Indiana Fever,New York Liberty,IND,NYL,1426.92799710439,1391.60568409229,0.660124391760643,0.339875608239357,65,73,1408.4406670516,1410.09301414508
2021,2021-05-16,0,0,post,Connecticut Sun,Phoenix Mercury,CON,PHO,1559.97635705618,1521.83890826385,0.663750709651416,0.336249290348584,86,78,1567.78638476894,1514.02888055109
2021,2021-05-18,0,0,post,New York Liberty,Minnesota Lynx,NYL,MIN,1410.09301414508,1512.3599973659,0.467999037545665,0.532000962454335,86,75,1426.79306109984,1495.65995041114
2021,2021-05-18,0,0,post,Washington Mystics,Phoenix Mercury,WAS,PHO,1473.8649484287,1514.02888055109,0.55707880349681,0.44292119650319,70,91,1446.5595697744,1541.33425920539
2021,2021-05-18,0,0,post,Seattle Storm,Las Vegas Aces,SEA,LVA,1630.12416822951,1541.72626802845,0.724995151083358,0.275004848916642,80,96,1597.14214889624,1574.70828736172
2021,2021-05-19,0,0,post,Atlanta Dream,Chicago Sky,ATL,CHI,1432.48085520923,1523.78096864728,0.483743561323809,0.516256438676191,77,85,1420.29326924852,1535.96855460799
2021,2021-05-19,0,0,post,Connecticut Sun,Indiana Fever,CON,IND,1567.78638476894,1408.4406670516,0.798634978373513,0.201365021626487,88,67,1575.80619859113,1400.42085322941
2021,2021-05-20,0,0,post,Minnesota Lynx,Seattle Storm,MIN,SEA,1495.65995041114,1597.14214889624,0.469123967997017,0.530876032002983,78,90,1480.63347496401,1612.16862434337
2021,2021-05-21,0,0,post,Indiana Fever,Atlanta Dream,IND,ATL,1400.42085322941,1420.29326924852,0.58567690686139,0.41432309313861,79,83,1389.5254598157,1431.18866266223
2021,2021-05-21,0,0,post,Washington Mystics,New York Liberty,WAS,NYL,1446.5595697744,1426.79306109984,0.639755289031869,0.360244710968131,101,72,1466.4876622107,1406.86496866354
2021,2021-05-21,0,0,post,Phoenix Mercury,Connecticut Sun,PHO,CON,1541.33425920539,1575.80619859113,0.565147676529788,0.434852323470212,67,84,1517.27977564333,1599.86068215319
2021,2021-05-21,0,0,post,Las Vegas Aces,Los Angeles Sparks,LVA,LAS,1574.70828736172,1485.28640566862,0.726168822171413,0.273831177828587,97,69,1588.75153436067,1471.24315866967
2021,2021-05-22,0,0,post,Dallas Wings,Seattle Storm,DAL,SEA,1500.01288666468,1612.16862434337,0.453855852403197,0.546144147596803,97,100,1493.08652856803,1619.09498244002
2021,2021-05-23,0,0,post,Indiana Fever,Washington Mystics,IND,WAS,1389.5254598157,1466.4876622107,0.504371630774506,0.495628369225494,89,77,1405.63457821704,1450.37854380936
2021,2021-05-23,0,0,post,Chicago Sky,New York Liberty,CHI,NYL,1535.96855460799,1406.86496866354,0.769181806197507,0.230818193802493,85,93,1512.48615794552,1430.34736532601
2021,2021-05-23,0,0,post,Las Vegas Aces,Connecticut Sun,LVA,CON,1588.75153436067,1599.86068215319,0.597862716110778,0.402137283889222,65,72,1573.84700665758,1614.76520985628
2021,2021-05-24,0,0,post,New York Liberty,Dallas Wings,NYL,DAL,1430.34736532601,1493.08652856803,0.524819924309383,0.475180075690617,88,81,1441.38812583917,1482.04576805487
2021,2021-05-25,0,0,post,Indiana Fever,Washington Mystics,IND,WAS,1405.63457821704,1450.37854380936,0.550564075262923,0.449435924737077,69,85,1383.33314463313,1472.67997739327
2021,2021-05-25,0,0,post,Chicago Sky,Atlanta Dream,CHI,ATL,1512.48615794552,1431.18866266223,0.716771482128043,0.283228517871957,83,90,1493.10060126667,1450.57421934108
2021,2021-05-25,0,0,post,Seattle Storm,Connecticut Sun,SEA,CON,1619.09498244002,1614.76520985628,0.619031907455657,0.380968092544343,90,87,1624.68165487884,1609.17853741746
2021,2021-05-26,0,0,post,Phoenix Mercury,Las Vegas Aces,PHO,LVA,1517.27977564333,1573.84700665758,0.533671425752225,0.466328574247775,79,85,1505.5041665377,1585.62261576321
2021,2021-05-27,0,0,post,Atlanta Dream,Dallas Wings,ATL,DAL,1450.57421934108,1482.04576805487,0.569387405210019,0.430612594789981,101,95,1459.54925219495,1473.070735201
